tlgroup_id;exercise_id
40e20def19be45f1031e5cfa79a1bbc36caaa748;98e207ce85c5b3b39e8930b3ab924c014d46f11c
40e20def19be45f1031e5cfa79a1bbc36caaa748;c3f33ec2e47ca1602691fce0ab9647dc6d6b6a81
40e20def19be45f1031e5cfa79a1bbc36caaa748;bf2be29c09e640f63a2e1b98587288e71748f61e
40e20def19be45f1031e5cfa79a1bbc36caaa748;992580fe125994cc699efaf552f2d4ee171fbf45
40e20def19be45f1031e5cfa79a1bbc36caaa748;d3bfac7ab794e2036e4b0a82b6ef18301ecc6abb
40e20def19be45f1031e5cfa79a1bbc36caaa748;5797dbb952232f17597f89e1df0c2c79d88a51d0
40e20def19be45f1031e5cfa79a1bbc36caaa748;9d6365c9b4b51c07388708b6aa314d8f0fbe4cd4
40e20def19be45f1031e5cfa79a1bbc36caaa748;9b7e23aad2d574822445914f1a2bf2876acb5670
40e20def19be45f1031e5cfa79a1bbc36caaa748;a4ca8853fb8988eebd20e6e3b1f58bf55963767c
40e20def19be45f1031e5cfa79a1bbc36caaa748;6edad20abeb4c976c27c1c153a2b8353a45d975c
40e20def19be45f1031e5cfa79a1bbc36caaa748;c204a01f102c9a4a51180475e79c32f8943c0911
40e20def19be45f1031e5cfa79a1bbc36caaa748;57a2a225a0fcbcda65395b567c8df787bfd6ab8b
40e20def19be45f1031e5cfa79a1bbc36caaa748;6a0581ee1d207cbbf00d5f9ff9453f2ae51b409e
40e20def19be45f1031e5cfa79a1bbc36caaa748;4884a9a6977e54610fd794d5191e3959acc9918f
40e20def19be45f1031e5cfa79a1bbc36caaa748;0de22de52e7c6e365989c0fd3712d1d923aab2a1
40e20def19be45f1031e5cfa79a1bbc36caaa748;5a6d4edfcf127a2fc331e5c5f4f7802ad4083432
40e20def19be45f1031e5cfa79a1bbc36caaa748;88062e6a88c6e5edf5354b66cccae10bded20ccd
40e20def19be45f1031e5cfa79a1bbc36caaa748;7066d91115b84d6dde66dc28e57f3101bfd73600
40e20def19be45f1031e5cfa79a1bbc36caaa748;337511872df2cbfe346ff945c71a42107d86b374
40e20def19be45f1031e5cfa79a1bbc36caaa748;3e391e634fee18caabbd489ed9ae92c00a3e5674
40e20def19be45f1031e5cfa79a1bbc36caaa748;bdc10c721272aca6394ba5eaa7f61f814b17e4e9
40e20def19be45f1031e5cfa79a1bbc36caaa748;e7a67466cc7ff427087ef7e0534042666773ae84
40e20def19be45f1031e5cfa79a1bbc36caaa748;dbf141ae047b3bf836b617cf4cafa2cc2862dc27
40e20def19be45f1031e5cfa79a1bbc36caaa748;6f76930f300401283714a309272260344a7df59b
40e20def19be45f1031e5cfa79a1bbc36caaa748;cc698f308f832470ce6674dd0c98e075de382a90
40e20def19be45f1031e5cfa79a1bbc36caaa748;077a9e4ca906aa488603d0eee031f52da8b4c256
40e20def19be45f1031e5cfa79a1bbc36caaa748;16a53c778d2581a231042fb42519362bb2c95704
40e20def19be45f1031e5cfa79a1bbc36caaa748;c8cca312095bfa648cf9d9564b0dbf9c17722c52
40e20def19be45f1031e5cfa79a1bbc36caaa748;8b6138e3376b2536a3dc87ee706e4f9c35a56f60
40e20def19be45f1031e5cfa79a1bbc36caaa748;410f0bff3f5afd0dce50c7e48f643c64eed218a9
40e20def19be45f1031e5cfa79a1bbc36caaa748;0b8e07f0617b0c8ec8cb076dbd4d0b130363f157
40e20def19be45f1031e5cfa79a1bbc36caaa748;933d6adca5418ee7f424eac9679e1102480d99b8
40e20def19be45f1031e5cfa79a1bbc36caaa748;ee608bd5d134f647a2b513e02fc3797c002eee15
40e20def19be45f1031e5cfa79a1bbc36caaa748;7c10d1bb0c0cd99e0e7d9fed9bb76827a93c744e
40e20def19be45f1031e5cfa79a1bbc36caaa748;ab9ebd031a4dc9a5622ed841d41e403c419b690d
40e20def19be45f1031e5cfa79a1bbc36caaa748;652b962b3624961f7f4b319d9c85f9c607699f8c
40e20def19be45f1031e5cfa79a1bbc36caaa748;f0b1aa6db5f3294ddf91cac645d8f68c73980c8d
c5409047bddbd9fd980cf527ff3bc9547976ae24;5fcef20c5ecf7d304ccb47bae7c9c3ba0d960cec
c5409047bddbd9fd980cf527ff3bc9547976ae24;72b3ca7e3df469f56b710ac8aa268394ef53aa76
c5409047bddbd9fd980cf527ff3bc9547976ae24;f7c77260e7821ce88689f957c9366bd2116f1029
c5409047bddbd9fd980cf527ff3bc9547976ae24;afc90d0fee025b6bb49259bc5866eacbcefce89f
